原檔,修正
"<來> 多謝/lai5,dor2-sia2-","來 多謝/lai5,dor2-sia2-"
沒關係<啦>/ve3-iang5-gin4-lah3-,沒關係啦/ve3-iang5-gin4-lah3-
"<來> 借過一下/eh2-heh2-lai5,zior4-gue3-zit3-le3-oh2-","來 借過一下/eh2-heh2-lai5,zior4-gue3-zit3-le3-oh2-"
我走了/lak2<lai2>-ki3-ah3-,我走了/lai2-ki3-ah3-
"雅信快坐好/nga1-sin3,gin1-zia2<ze3>-<e2>-honnh2<honnh4>-","雅信快坐好/nga1-sin3,gin1-ze3-e2-honnh4-"
"高牧師是有錢人/gor2-vok3-su1,i2<in2>-<dau1>-si3-horm1<ho1>-qia3-lang5-a1-","高牧師是有錢人/gor2-vok3-su1,in2-dau1-si3-ho1-qia3-lang5-a1-"
<嗯 好>/hor4<m3>-hor4-,嗯 好/m3-hor4-
<雅信> 乖<喔>/nga1-sin3-guai2-oh2-,雅信 乖喔/nga1-sin3-guai2-oh2-
"這樣才是我們高家的女兒啊/an1-ne1-oh2,an1<>-ne1<>-ziok1<zia1>-sing2,lan1-ko1-gah2-e2-za2-vo1-giann4-a1-","這樣才是我們高家的女兒啊/an1-ne1-oh2,an1-ne1-zia1-sing2,lan1-ko1-gah2-e2-za2-vo1-giann4-a1-"
"*<來來來 喔唷>/lai5-lai5-lai5,oh2<oh3>-ior5<ior2>-","來來來 喔唷/lai5-lai5-lai5,oh3-ior2-"
"*<乖喔 不哭>/guai1-honnh2,m3-honn1-kau3-e2<e4>-e2<ior4>-
","乖喔 不哭/guai1-honnh2,m3-honn1-kau3-e4-ior4-"
"我阿娘跟妹妹呢/qua1-e2*a2*-nia5,gah1-me2-me1-neh2*leh2*-","我阿娘跟妹妹呢/qua1-a2-nia5,gah1-me2-me1-leh2-"
"妳阿娘 妳阿娘不要你了/li1-e2-a2-nia5,li1-e2-a2-nia5,vuai5*vor3*-*ai3*-li4-ah3-","妳阿娘 妳阿娘不要你了/li1-e2-a2-nia5,li1-e2-a2-nia5,vor3-ai3-li4-ah3-"
兇什麼/painn1-qin1*siann4-*-a4* *-,兇什麼/painn1-siann4-
"*啊* 我們多帶一些人/ah2,lan1-ge2-cuan3,zit3-gua1-lang5,","啊 我們多帶一些人/ah2,lan1-ge2-cuan3,zit3-gua1-lang5,"
"<這孩子我先帶回去>/zit1-le2-qin1-a4,a1<>-si3-qua1,cua2-dng3-lai3-","這孩子我先帶回去/zit1-le2-qin1-a4,a1-si3-qua1,cua2-dng3-lai3-"
"*雅信乖 聽娘的話/nga1-sin3-guai1-<nga3-><sin3-><gia4-><a2-><nia5-><e2-><ue2-><,ho4-><vor3->","雅信乖 聽娘的話/nga1-sin3-guai1-nga3-sin3-gia4-a2-nia5-e2-ue2,ho4-vor3-"
*我幫妳/ai4<>-qua1<>-ga3<dun4>-li1<lai3>-dau4-sann2-gang2-,我幫妳/ai4-qua1-dun4-lai3-dau4-sann2-gang2-
"上次跟妳講的那件事 妳有考慮嗎/qua1-ding1-bai4,ga3-li1-gong4,hit1-lor2<le3>-dai3-zi3-<,li1-><gang1-><u3-><ko1-><lu2->","上次跟妳講的那件事 妳有考慮嗎/qua1-ding1-bai4,ga3-li1-gong4,hit1-le3-dai3-zi3,li1-gang1-u3-ko1-lu2-"
